hhcode,weight,food_total,nonfood_total,selfemp_income,total_income,treatment,loan_amount
910421,1,387,4048,0,4435,1,7000
910441,1,534,9085,0,9619,0,0
910459,1,614,16780,0,17394,0,0
910521,1,581,3420,0,4001,1,13000
910541,1,363,6261,28,6652,0,0
910622,1,253,1980,50,2283,1,8000
910721,1,75,1020,0,1095,1,1000
910722,1,230,2335,0,2565,1,0
910821,1,114,1473,0,1587,1,8000
910822,1,222,3532,0,3754,1,3000
910921,1,581,8273,0,8854,1,0
911021,1,327,15370,0,15697,1,6000
911121,1,193,2625,0,2818,1,0
911221,1,1308,192555,25,193888,1,0
920121,1,348,3461,0,3809,1,11000
920141,1,512,8585,100,9197,1,13000
920221,1,335,5158,0,5493,1,5500
920241,1,679,5489,0,6168,1,9000
920251,1,341,4962,0,5303,0,0
920252,1,245,3515,0,3760,1,6000
920321,1,403,3808,0,4211,1,0
920341,1,398,5776,0,6174,1,2500
920351,1,558,33558,0,34116,0,0
920352,1,824,32310,0,33134,0,0
920353,1,458,18511,0,18969,0,0
920421,1,709,166114,0,166823,1,0
920441,1,232,2079,0,2311,1,19500
920459,1,407,6568,0,6975,1,6000
920521,1,186,2354,0,2540,1,0
920541,1,134,2822,0,2956,0,0
920621,1,399,3582,0,3981,1,0
920721,1,557,25848,0,26405,1,0
920821,1,499,12920,0,13419,1,0
920921,1,1064,22112,0,23176,1,15000
921021,1,664,8777,0,9441,1,0
921121,1,415,5769,0,6184,1,7000
921221,1,457,3944,0,4401,1,3000
930121,1,364,3873,0,4237,1,11000
930141,1,500,26695,0,27195,0,0
930151,1,357,20644,0,21001,0,0
930221,1,632,14240,0,14872,1,11000
930241,1,235,2978,0,3213,0,0
930251,1,735,11300,0,12035,0,0
930321,1,397,4485,0,4882,1,11000
930341,1,318,2210,0,2528,0,0
930342,1,233,1533,0,1766,0,0
930351,1,347,6250,0,6597,1,2000
930352,1,286,2456,0,2742,1,22000
930421,1,305,3525,0,3830,1,0
930441,1,274,2351,0,2625,1,2000
930459,1,493,3323,0,3816,0,0
