hhcode,weight,food_total,nonfood_total,selfemp_income,total_income,treatment,loan_amount
240459,1,149,6130,0,6279,0,5000
240519,1,323.5,5777,80,6180.5,1,15000
240549,1,365.5,5504,70,5939.5,1,4500
240559,1,225,10370,0,10595,0,20000
240619,1,257,4296,0,4553,1,14000
240719,1,317.5,5007,60,5384.5,1,12000
240819,1,1484,53706,0,55190,1,41000
240919,1,293.5,8973,0,9266.5,1,34000
241019,1,379.5,16043,0,16422.5,1,11000
310111,1,946,15754,450,17150,1,23000
310141,1,853,19340,0,20193,0,0
310151,1,685,18110,0,18795,0,0
310211,1,630,7265,0,7895,1,17000
310241,1,903,27510,0,28413,0,0
310251,1,918,187048,0,187966,1,7000
310311,1,939,60980,0,61919,1,60000
310351,1,938,29610,0,30548,0,0
310441,1,760,96985,0,97745,0,0
310459,1,716,8750,0,9466,0,0
310511,1,1092,50670,0,51762,1,20300
310541,1,640,11050,0,11690,0,0
310611,1,711,80800,0,81511,1,0
310641,1,664,6810,0,7474,0,0
310811,1,631,21800,0,22431,1,30000
310911,1,621,5700,120,6441,1,0
311011,1,412,4950,0,5362,1,27000
311111,1,1621,15770,0,17391,1,10500
311211,1,1159,66670,0,67829,1,34000
311411,1,748,23530,0,24278,1,44000
320111,1,613,50570,0,51183,1,15000
320141,1,377.5,2030,0,2407.5,0,4000
320142,1,393,5960,0,6353,0,0
320151,1,721,113258,0,113979,0,190000
320152,1,952.5,99120,0,100072.5,0,180000
320153,1,682,5150,0,5832,0,20000
320154,1,1115,187690,0,188805,0,125000
320211,1,787,9790,0,10577,1,54000
320241,1,1033,27780,0,28813,1,96500
320251,1,1811,35960,0,37771,0,40000
320311,1,1072.5,67490,0,68562.5,1,2500
320341,1,1619,36724,566,38909,1,69000
320411,1,762,7010,0,7772,1,23000
320441,1,394.5,6190,60,6644.5,1,16000
320442,1,410,4910,0,5320,0,0
320443,1,350,4182,100,4632,1,23000
320459,1,1828,36430,400,38658,0,0
320511,1,475,9400,0,9875,1,32000
320541,1,1330.5,43255,0,44585.5,0,0
320611,1,586,8380,100,9066,1,21000
320641,1,1087,29980,0,31067,0,0
320711,1,912,9401,0,10313,1,75000
321011,1,398,9080,140,9618,1,40000
321111,1,974,19680,400,21054,1,69000
321211,1,1203,122000,0,123203,1,40000
321212,1,574,31450,0,32024,0,0
321311,1,725,12550,0,13275,1,70000
321411,1,725,10502,0,11227,1,0
321412,1,399,6155,0,6554,1,9000
330111,1,352,3810,0,4162,1,9000
330141,1,503,3668,100,4271,1,9000
330151,1,1037,43810,0,44847,0,0
330211,1,643,5183,0,5826,1,20000
330241,1,340,8128,60,8528,0,9000
330251,1,1063,32470,0,33533,0,35000
330341,1,308.5,4090,0,4398.5,0,0
330411,1,668,12270,0,12938,1,2000
330511,1,224,2440,0,2664,1,0
330541,1,347,8780,210,9337,1,52000
330611,1,656,6963,0,7619,1,0
330641,1,1552,22900,0,24452,0,0
330731,1,556,6684,310,7550,1,0
330811,1,389,3020,80,3489,1,0
330911,1,437,4678,90,5205,1,15000
331111,1,304,14280,60,14644,1,14000
331211,1,438,4640,0,5078,1,0
331311,1,564,9480,60,10104,1,14000
331411,1,372,7986,95,8453,1,13000
331412,1,348,3905,70,4323,0,0
410111,1,357,1800,120,2277,1,0
410141,1,695,6930,60,7685,0,0
410151,1,320,6020,460,6800,1,53000
410211,1,244,2980,0,3224,1,1000
410241,1,250,1780,0,2030,0,1000
410251,1,514,13150,0,13664,1,27000
410311,1,281,5352,0,5633,1,5000
410341,1,213,2075,0,2288,1,31000
410342,1,159,1775,0,1934,0,0
410343,1,147,2010,0,2157,0,4000
410344,1,109,1040,0,1149,0,0
410351,1,539,17700,0,18239,0,17000
410411,1,391,3510,0,3901,1,0
410441,1,103,1970,0,2073,0,0
410459,1,468,116620,0,117088,0,0
410511,1,1949,116950,0,118899,1,0
410541,1,300,2064,0,2364,0,0
410611,1,274,2230,0,2504,1,1000
410612,1,191,1520,0,1711,0,1500
410711,1,306,1205,0,1511,1,0
410712,1,188,1060,0,1248,0,0
410811,1,314,1380,0,1694,1,0
410911,1,380,44160,200,44740,1,8000
411011,1,196,4390,0,4586,1,18000
411111,1,390,7870,0,8260,1,22000
411211,1,545,10195,0,10740,1,8000
420111,1,455,11300,300,12055,1,14500
420141,1,308,2550,0,2858,0,0
420151,1,476,5610,0,6086,0,0
420211,1,345,2860,0,3205,1,0
420241,1,227,1565,40,1832,0,0
420251,1,274,9570,0,9844,1,11000
420311,1,379,7430,0,7809,1,0
420341,1,531,7240,0,7771,0,0
420351,1,263.5,2560,0,2823.5,1,0
420411,1,358,5550,20,5928,1,10000
420441,1,272,2235,0,2507,0,0
420459,1,316,4995,0,5311,0,6500
420521,1,366,4730,0,5096,1,5000
420522,1,248,5808,0,6056,0,0
420541,1,296,31790,80,32166,1,0
420611,1,484,5365,100,5949,0,0
420711,1,283,12430,0,12713,1,26000
420821,1,485,5846,0,6331,1,5000
420921,1,105,1865,0,1970,1,0
421021,1,293,2670,100,3063,1,0
421121,1,305,3745,0,4050,1,0
421211,1,142,930,0,1072,1,4000
421212,1,165,4296,60,4521,0,1000
421213,1,127,2308,50,2485,0,2000
430111,1,297,3360,0,3657,1,25000
430141,1,230,19600,0,19830,0,3000
430151,1,274,2940,70,3284,1,7500
430211,1,203.5,78600,0,78803.5,1,59000
430241,1,234.5,4210,0,4444.5,0,0
430251,1,329,5000,0,5329,0,0
430252,1,221,2950,0,3171,0,0
430311,1,337,3935,0,4272,1,11000
430341,1,427,10330,0,10757,1,40000
430411,1,594,11790,0,12384,1,1000
430441,1,538.5,13855,0,14393.5,0,2000
430442,1,223,1695,0,1918,0,0
430459,1,383,51430,500,52313,1,9500
430511,1,520,15305,0,15825,1,25000
430541,1,282,22235,60,22577,1,10500
430611,1,270,2625,0,2895,1,16500
