"hhcode","casenum","date","weight_","day","month","year","thanaid","thanade","villid","villde","hhid","partcptn","hhtype","hhserial","relign","relhh","distance","lat_type","electric","samity","member","d_hat","d_bcentr","d_bank"
230141,163,"6/16/99",1,14,4,99,2,"GAIBANDHA SADAR",3,"",1,4,1,14,1,1,1.60000002384186,1,2,2,1.79769313486232e+308,0.400000005960464,3.22000002861023,3.22000002861023
230151,167,"6/16/99",1,20,4,99,2,"GAIBANDHA SADAR",3,"",1,5,1,18,1,1,3.22000002861023,1,2,2,1.79769313486232e+308,0.400000005960464,3.22000002861023,3.22000002861023
230152,168,"6/16/99",1,22,4,99,2,"GAIBANDHA SADAR",3,"",1,5,2,19,1,1,3.22000002861023,1,2,2,1.79769313486232e+308,0.400000005960464,3.22000002861023,3.22000002861023
230211,151,"6/16/99",1,17,3,99,2,"GAIBANDHA SADAR",3,"",2,1,1,2,1,2,2.41000008583069,1,2,2,1.79769313486232e+308,0.400000005960464,2.41000008583069,9.60000038146973
230241,164,"6/16/99",1,19,4,99,2,"GAIBANDHA SADAR",3,"",2,4,1,15,1,1,3.22000002861023,1,2,2,1.79769313486232e+308,0.400000005960464,3.22000002861023,3.22000002861023
230251,169,"6/16/99",1,24,4,99,2,"GAIBANDHA SADAR",3,"",2,5,1,20,1,1,3,4,2,2,1.79769313486232e+308,1,3,3
230311,152,"6/16/99",1,21,3,99,2,"GAIBANDHA SADAR",3,"",3,1,1,3,1,1,2.41000008583069,1,2,2,1.79769313486232e+308,0.5,2.41000008583069,2.41000008583069
230351,170,"6/16/99",1,10,4,99,2,"GAIBANDHA SADAR",3,"",3,5,1,21,1,6,3.22000002861023,1,2,2,1.79769313486232e+308,0.400000005960464,3.22000002861023,3.22000002861023
230352,171,"6/16/99",1,13,4,99,2,"GAIBANDHA SADAR",3,"",3,5,2,22,1,1,3.22000002861023,1,2,2,1.79769313486232e+308,0.400000005960464,3.22000002861023,3.22000002861023
230411,153,"6/16/99",1,22,3,99,2,"GAIBANDHA SADAR",3,"",4,1,1,4,1,1,2.41000008583069,1,2,2,1.79769313486232e+308,0.400000005960464,2.41000008583069,2.41000008583069
230441,165,"6/16/99",1,6,4,99,2,"GAIBANDHA SADAR",3,"",4,4,1,16,1,1,3.22000002861023,1,2,2,1.79769313486232e+308,0.400000005960464,3.22000002861023,3.22000002861023
230459,172,"6/16/99",1,25,4,99,2,"GAIBANDHA SADAR",3,"",4,5,9,23,1,1,3,1,2,2,1.79769313486232e+308,0.400000005960464,3,3
230511,154,"6/16/99",1,23,3,99,2,"GAIBANDHA SADAR",3,"",5,1,1,5,1,1,2.41000008583069,1,2,2,1.79769313486232e+308,0.400000005960464,3.22000002861023,3.22000002861023
230541,166,"6/16/99",1,7,4,99,2,"GAIBANDHA SADAR",3,"",5,4,1,17,1,1,3.22000002861023,1,2,2,1.79769313486232e+308,0.400000005960464,3.22000002861023,3.22000002861023
230611,155,"6/16/99",1,24,3,99,2,"GAIBANDHA SADAR",3,"",6,1,1,6,1,1,3,1,2,2,1.79769313486232e+308,0.449999988079071,3,3
230612,156,"6/16/99",1,25,3,99,2,"GAIBANDHA SADAR",3,"",6,1,2,7,1,1,3,1,2,2,1.79769313486232e+308,0.400000005960464,3,3
230711,157,"6/16/99",1,3,4,99,2,"GAIBANDHA SADAR",3,"",7,1,1,8,1,1,3,1,2,2,1.79769313486232e+308,0.180000007152557,3,3
230811,158,"6/16/99",1,4,4,99,2,"GAIBANDHA SADAR",3,"",8,1,1,9,1,1,3.22000002861023,3,2,2,1.79769313486232e+308,0.800000011920929,3.22000002861023,3.22000002861023
231011,159,"6/16/99",1,8,4,99,2,"GAIBANDHA SADAR",3,"",10,1,1,10,1,1,3.20000004768372,1,2,2,1.79769313486232e+308,2.5,3.20000004768372,3.20000004768372
231111,160,"6/16/99",1,15,4,99,2,"GAIBANDHA SADAR",3,"",11,1,1,11,1,1,1.60000002384186,1,2,2,1.79769313486232e+308,1.60000002384186,3.22000002861023,3.22000002861023
231211,161,"6/16/99",1,17,4,99,2,"GAIBANDHA SADAR",3,"",12,1,1,12,1,1,1.60000002384186,3,2,2,1.79769313486232e+308,1,3.22000002861023,3.22000002861023
231212,162,"6/16/99",1,18,4,99,2,"GAIBANDHA SADAR",3,"",12,1,2,13,1,1,1.60000002384186,3,2,2,1.79769313486232e+308,1.60000002384186,3.22000002861023,3.22000002861023
240119,84,"9/07/99",1,3,7,99,2,"GAIBANDHA SADAR",4,"",1,1,9,1,1,1,0.5,1,1,1,2,1,3.22000002861023,3.22000002861023
240149,94,"9/07/99",1,15,7,99,2,"GAIBANDHA SADAR",4,"",1,4,9,11,1,1,0.200000002980232,3,2,1,2,0.200000002980232,3.22000002861023,3.22000002861023
240159,99,"9/07/99",1,24,7,99,2,"GAIBANDHA SADAR",4,"",1,5,9,16,2,1,0.200000002980232,3,2,1,1,0.200000002980232,3.22000002861023,3.22000002861023
240219,85,"9/07/99",1,5,7,99,2,"GAIBANDHA SADAR",4,"",2,1,9,2,2,1,0.800000011920929,3,2,1,1,0.800000011920929,3.22000002861023,3.22000002861023
240249,95,"9/07/99",1,18,7,99,2,"GAIBANDHA SADAR",4,"",2,4,9,12,1,1,0.200000002980232,3,2,1,1,0.200000002980232,3.22000002861023,3.22000002861023
240259,100,"9/07/99",1,25,7,99,2,"GAIBANDHA SADAR",4,"",2,5,9,17,2,3,0.200000002980232,3,2,1,2,0.200000002980232,3.22000002861023,3.22000002861023
240319,86,"9/07/99",1,6,7,99,2,"GAIBANDHA SADAR",4,"",3,1,9,3,1,1,0.400000005960464,1,2,2,1.79769313486232e+308,0.400000005960464,3.22000002861023,3.22000002861023
240349,96,"9/07/99",1,19,7,99,2,"GAIBANDHA SADAR",4,"",3,4,9,13,2,1,0.800000011920929,1,2,1,2,0.800000011920929,3.22000002861023,3.22000002861023
240359,101,"9/07/99",1,26,7,99,2,"GAIBANDHA SADAR",4,"",3,5,9,18,2,1,0.800000011920929,3,2,1,1,0.200000002980232,3.22000002861023,3.22000002861023
240419,87,"9/07/99",1,8,7,99,2,"GAIBANDHA SADAR",4,"",4,1,9,4,1,1,0,1,2,1,2,0.200000002980232,3.22000002861023,3.22000002861023
240449,97,"9/07/99",1,20,7,99,2,"GAIBANDHA SADAR",4,"",4,4,9,14,1,1,0.100000001490116,3,2,1,2,0.200000002980232,3.22000002861023,3.22000002861023
240459,102,"9/07/99",1,27,7,99,2,"GAIBANDHA SADAR",4,"",4,5,9,19,2,1,0.200000002980232,3,2,1,2,0.200000002980232,3.22000002861023,3.22000002861023
240519,88,"9/07/99",1,9,7,99,2,"GAIBANDHA SADAR",4,"",5,1,9,5,1,1,0.200000002980232,2,2,1,2,0.200000002980232,3.22000002861023,3.22000002861023
240549,98,"9/07/99",1,21,7,99,2,"GAIBANDHA SADAR",4,"",5,4,9,15,1,1,0.100000001490116,1,2,1,1,0.100000001490116,3.22000002861023,3.22000002861023
240559,103,"9/07/99",1,28,7,99,2,"GAIBANDHA SADAR",4,"",5,5,9,20,2,1,0.200000002980232,1,2,1,2,0.200000002980232,3.22000002861023,3.22000002861023
240619,89,"9/07/99",1,10,7,99,2,"GAIBANDHA SADAR",4,"",6,1,9,6,1,1,0.200000002980232,1,2,1,2,0.200000002980232,3.22000002861023,3.22000002861023
240719,90,"9/07/99",1,11,7,99,2,"GAIBANDHA SADAR",4,"",7,1,9,7,1,1,0.100000001490116,3,2,1,1,0.200000002980232,3.22000002861023,3.22000002861023
240819,91,"9/07/99",1,12,7,99,2,"GAIBANDHA SADAR",4,"",8,1,9,8,1,1,0,3,1,1,1,0.200000002980232,3.22000002861023,3.22000002861023
240919,92,"9/07/99",1,13,7,99,2,"GAIBANDHA SADAR",4,"",9,1,9,9,1,1,0.100000001490116,3,1,1,2,0.200000002980232,3.22000002861023,3.22000002861023
241019,93,"9/07/99",1,14,7,99,2,"GAIBANDHA SADAR",4,"",10,1,9,10,2,1,0.200000002980232,1,2,1,2,0.200000002980232,3.22000002861023,3.22000002861023
310111,204,"6/24/99",1,20,2,99,3,"HOBIGONJ SADAR",1,"",1,1,1,1,1,1,0.100000001490116,3,1,2,1.79769313486232e+308,0.150000005960464,3,1
310141,216,"6/24/99",1,7,3,99,3,"HOBIGONJ SADAR",1,"",1,4,1,13,1,2,0.100000001490116,3,1,2,1.79769313486232e+308,0.100000001490116,2,0.5
310151,220,"6/24/99",1,5,3,99,3,"HOBIGONJ SADAR",1,"",1,5,1,18,1,3,0,3,1,2,1.79769313486232e+308,0.300000011920929,2,0.5
310211,205,"6/24/99",1,22,2,99,3,"HOBIGONJ SADAR",1,"",2,1,1,2,1,3,0.300000011920929,3,2,2,1.79769313486232e+308,0.5,3,1
