"casenum","date","weight_","hhcode","actvtysl","pid","actvty","actvtyde","s6_1q4","s6_1q5","s6_1q6","s6_1q7","s6_1q8","s6_1q9","s6_1q10","s6_1q11","s6_1q12","s6_1q13","s6_1q14","s6_1q15"
61,"5/14/99",1,930721,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
62,"5/14/99",1,930821,1,1,511,"",5,1.79769313486232e+308,10,15,1,3,98,66,1,1.79769313486232e+308,2000,1
63,"5/14/99",1,930921,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
64,"5/14/99",1,931021,1,1,511,"",13,1.79769313486232e+308,12,15,3,1.79769313486232e+308,98,33,8,1.79769313486232e+308,28000,1
65,"5/14/99",1,931022,1,1,511,"",5,1.79769313486232e+308,12,26,3,1.79769313486232e+308,98,66,1,1.79769313486232e+308,10000,1
66,"5/14/99",1,931121,1,1,204,"",15,1.79769313486232e+308,12,15,1,1.79769313486232e+308,1,0,1,1.79769313486232e+308,10000,1
67,"5/14/99",1,931221,1,1,603,"",15,1.79769313486232e+308,12,30,2,1.79769313486232e+308,5,0,1,1.79769313486232e+308,1000,6
68,"5/14/99",1,931222,1,1,603,"",10,1.79769313486232e+308,12,26,2,1.79769313486232e+308,1,0,1,1.79769313486232e+308,300,0
46,"5/13/99",1,1010121,1,1,507,"",2,4,2,24,3,1.79769313486232e+308,97,0,1,1.79769313486232e+308,3000,12
58,"5/16/99",1,1010141,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
62,"5/16/99",1,1010151,1,4,507,"",6,7,8,18,3,1.79769313486232e+308,97,0,1,1.79769313486232e+308,3000,4
63,"5/16/99",1,1010152,1,2,209,"",4,2,6,20,1,1.79769313486232e+308,97,0,1,1.79769313486232e+308,4000,0
74,"9/10/99",1,1010153,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
47,"5/16/99",1,1010221,1,1,506,"",6,4,4,10,3,1.79769313486232e+308,97,0,5,1.79769313486232e+308,5000,4
