"casenum","date","weight_","hhcode","pid","respid","s13_1q3","s13_1q4","s13_1q5","s13_1q6","s13_1q7","s13_1q8","s13_1q9","s13_1q10","s13_1q11"
154,"7/21/99",1,630513,2,2,1,16,0,0,7,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
169,"7/21/99",1,630541,2,2,1,12,0,0,6,4,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
1.79769313486232e+308,".",1.79769313486232e+308,630541,4,2,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
155,"7/21/99",1,630611,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
156,"7/21/99",1,630711,4,4,1,13,0,0,0,4,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
31,"8/04/99",1,630811,2,2,1,15,0,0,7,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
32,"8/04/99",1,630811,6,2,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
33,"8/04/99",1,630811,7,2,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
34,"8/04/99",1,630811,9,9,1,13,5000,0,5,36,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
35,"8/04/99",1,630911,2,2,1,14,0,0,2,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
1.79769313486232e+308,".",1.79769313486232e+308,630911,4,1.79769313486232e+308,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
157,"7/21/99",1,631011,2,2,1,13,0,0,1,12,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
1.79769313486232e+308,".",1.79769313486232e+308,631011,5,2,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
1.79769313486232e+308,".",1.79769313486232e+308,631011,6,2,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
158,"7/21/99",1,631111,2,2,1,13,0,0,30,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
159,"7/21/99",1,631211,2,2,1,15,0,0,1,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
1.79769313486232e+308,".",1.79769313486232e+308,631211,4,2,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
63,"6/06/99",1,710111,2,1,1,14,0,0,0.25,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
