"casenum","date","weight_","hhcode","actvtysl","s6_3q2","s6_3q3","s6_3q4","s6_3q5","s6_3q6","s6_3q7","s6_3q8","s6_3q9"
126,"6/12/99",1,1720141,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
131,"6/12/99",1,1720151,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
107,"6/12/99",1,1720231,1,12,6000,0,1398.60144042969,0,2,1.79769313486232e+308,1.79769313486232e+308
127,"6/12/99",1,1720241,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
132,"6/12/99",1,1720251,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
108,"6/12/99",1,1720331,1,12,12000,0,2797.20288085938,0,1,3000,1.79769313486232e+308
128,"6/12/99",1,1720341,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
133,"6/12/99",1,1720351,1,12,10000,600,2331.00244140625,150,1,3000,1.79769313486232e+308
109,"6/12/99",1,1720431,1,12,20000,3000,4662.0048828125,697,1,15000,1.79769313486232e+308
110,"6/12/99",1,1720431,2,7,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,2600
129,"6/12/99",1,1720441,1,12,224000,0,52214,0,1,20000,1.79769313486232e+308
134,"6/12/99",1,1720459,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
111,"6/12/99",1,1720531,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
130,"6/12/99",1,1720541,1,12,4000,0,932.400939941406,0,2,1.79769313486232e+308,1.79769313486232e+308
112,"6/12/99",1,1720631,1,8,13700,0,3193.47314453125,0,1,2000,1.79769313486232e+308
113,"6/12/99",1,1720731,1,4,34000,0,7925.40771484375,0,2,1.79769313486232e+308,1.79769313486232e+308
114,"6/12/99",1,1720831,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
115,"6/12/99",1,1720931,1,8,15800,1000,3682.98364257812,0,1,1000,1.79769313486232e+308
116,"6/12/99",1,1721031,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
117,"6/12/99",1,1721131,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
118,"6/12/99",1,1721339,1,12,3200,0,745.920776367188,0,1,2000,1.79769313486232e+308
119,"6/12/99",1,1721439,1,12,5000,0,1165.50122070312,0,2,1.79769313486232e+308,1.79769313486232e+308
120,"6/12/99",1,1721439,2,2,26000,0,6061,0,1,1000,1.79769313486232e+308
