"casenum","date","weight_","hhcode","crisisid","crisisde","loss","hcf1","hcf2","exp"
103,"6/10/99",1,2520351,2,"Crop damage",5000,5,1.79769313486232e+308,4000
82,"6/10/99",1,2520441,3,"Burglery/Theft",6000,7,1.79769313486232e+308,2000
83,"6/10/99",1,2520441,5,"Death of cow/buffalo",6000,1,1.79769313486232e+308,1.79769313486232e+308
104,"6/10/99",1,2520459,2,"Crop damage",5000,18,1.79769313486232e+308,4000
84,"6/10/99",1,2520541,8,"Huge expenditure due to illness",2500,25,1.79769313486232e+308,2500
85,"6/10/99",1,2520542,2,"Crop damage",2000,7,1.79769313486232e+308,1500
86,"6/10/99",1,2520641,2,"Crop damage",2500,5,1.79769313486232e+308,200
87,"6/10/99",1,2520641,8,"Huge expenditure due to illness",2000,5,1.79769313486232e+308,2000
88,"6/10/99",1,2520741,13,"Unnatural death of family member",1.79769313486232e+308,25,2,9000
89,"6/10/99",1,2520841,2,"Crop damage",2000,7,1.79769313486232e+308,1500
90,"6/10/99",1,2520841,8,"Huge expenditure due to illness",3000,7,1.79769313486232e+308,3000
91,"6/10/99",1,2520941,2,"Crop damage",3000,5,1.79769313486232e+308,3000
92,"6/10/99",1,2521041,1,"Death of primary income eraner",1.79769313486232e+308,1,1.79769313486232e+308,1.79769313486232e+308
93,"6/10/99",1,2521141,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
94,"6/10/99",1,2521241,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
95,"6/10/99",1,2521341,8,"Huge expenditure due to illness",1000,7,1.79769313486232e+308,1000
96,"6/10/99",1,2521441,2,"Crop damage",1200,5,1.79769313486232e+308,1000
97,"6/10/99",1,2521541,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
98,"6/10/99",1,2521542,8,"Huge expenditure due to illness",8000,5,7,8000
99,"6/10/99",1,2521641,8,"Huge expenditure due to illness",1000,2,7,1000
100,"6/10/99",1,2521741,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
1,"5/19/99",1,2530141,8,"Huge expenditure due to illness",7000,25,1.79769313486232e+308,7000
22,"5/20/99",1,2530151,2,"Crop damage",5000,2,1.79769313486232e+308,3000
23,"5/20/99",1,2530151,9,"Loss of money",1500,1,1.79769313486232e+308,1.79769313486232e+308
2,"5/20/99",1,2530241,2,"Crop damage",2000,5,1.79769313486232e+308,1000
24,"5/20/99",1,2530251,8,"Huge expenditure due to illness",2000,7,1.79769313486232e+308,2000
3,"5/20/99",1,2530341,9,"Loss of money",250000,1,1.79769313486232e+308,1.79769313486232e+308
75,"9/11/99",1,2530351,2,"Crop damage",20000,2,1.79769313486232e+308,12000
4,"5/20/99",1,2530441,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
25,"5/20/99",1,2530459,2,"Crop damage",3000,3,1.79769313486232e+308,3000
5,"5/20/99",1,2530541,8,"Huge expenditure due to illness",8000,7,1.79769313486232e+308,8000
6,"5/20/99",1,2530641,2,"Crop damage",8000,22,1.79769313486232e+308,2000
7,"5/20/99",1,2530741,2,"Crop damage",2000,5,1.79769313486232e+308,1500
8,"5/20/99",1,2530741,8,"Huge expenditure due to illness",8000,5,1.79769313486232e+308,8000
9,"5/20/99",1,2530841,9,"Loss of money",22000,1,1.79769313486232e+308,1.79769313486232e+308
10,"5/20/99",1,2530941,8,"Huge expenditure due to illness",5000,22,1.79769313486232e+308,5000
11,"5/20/99",1,2531041,2,"Crop damage",5000,2,1.79769313486232e+308,3000
12,"5/20/99",1,2531141,2,"Crop damage",5000,2,1.79769313486232e+308,4000
13,"5/20/99",1,2531241,30,"Others",1.79769313486232e+308,5,1.79769313486232e+308,1000
14,"5/20/99",1,2531341,1,"Death of primary income eraner",1.79769313486232e+308,2,7,5000
15,"5/20/99",1,2531341,7,"Damage to house/land due to cyclone",750,22,1.79769313486232e+308,400
16,"5/20/99",1,2531341,8,"Huge expenditure due to illness",700,7,1.79769313486232e+308,700
17,"5/20/99",1,2531441,2,"Crop damage",4000,2,1.79769313486232e+308,2000
18,"5/20/99",1,2531441,5,"Death of cow/buffalo",10000,1,1.79769313486232e+308,1.79769313486232e+308
19,"5/20/99",1,2531541,8,"Huge expenditure due to illness",15000,3,1.79769313486232e+308,15000
20,"5/20/99",1,2531641,8,"Huge expenditure due to illness",5000,5,1.79769313486232e+308,5000
21,"5/20/99",1,2531741,2,"Crop damage",2000,2,1.79769313486232e+308,12000
1,"7/07/99",1,2540149,2,"Crop damage",1500,2,1.79769313486232e+308,1500
16,"9/12/99",1,2540159,9,"Loss of money",50000,1,1.79769313486232e+308,1.79769313486232e+308
2,"9/12/99",1,2540249,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
17,"9/12/99",1,2540259,8,"Huge expenditure due to illness",3000,2,7,3000
3,"9/12/99",1,2540349,8,"Huge expenditure due to illness",12000,5,25,12000
18,"9/12/99",1,2540359,8,"Huge expenditure due to illness",2000,2,1.79769313486232e+308,2000
4,"9/12/99",1,2540449,8,"Huge expenditure due to illness",3500,7,2,3500
19,"9/12/99",1,2540459,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
5,"9/12/99",1,2540549,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
20,"9/12/99",1,2540559,8,"Huge expenditure due to illness",4000,2,1.79769313486232e+308,4000
6,"9/12/99",1,2540649,8,"Huge expenditure due to illness",3000,25,1.79769313486232e+308,3000
7,"9/12/99",1,2540749,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
8,"9/12/99",1,2540849,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
9,"9/12/99",1,2540949,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
10,"9/12/99",1,2541049,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
